 Molecular Dynamics Program

 Number Of Particles   :          100
 Boxlength             :    5.0000000000000000     
 Density               :   0.80000000000000004     
 Temperature           :   0.50000000000000000     
 Cut-Off Radius        :    2.4999500000000001     
 Cut-Off Energy        :   -1.6318841245411584E-002
 Number Of Steps       :        50000
 Number Of Init Steps  :         5000
 Delta t               :    1.0000000000000000E-003
 Initial Energy        :    245316.72400150794     
 Final Energy          :   -240.12996283930053     

 Momentum X-Dir.        :   -4.6262993436130273E-013
 Momentum Y-Dir.        :    1.0137446437852304E-012
 Momentum Z-Dir.        :    1.2775891455873989E-013


 Step  TotalEnergy  KineticEnergy  PotentialEnergy  Temperature  Pressure
14850  -0.44176E+03   0.87780E+02  -0.52954E+03   0.59111E+00  -0.16300E+01
14900  -0.44176E+03   0.83587E+02  -0.52535E+03   0.56287E+00  -0.14730E+01
14950  -0.44176E+03   0.75226E+02  -0.51699E+03   0.50658E+00  -0.11409E+01
15000  -0.44176E+03   0.79289E+02  -0.52105E+03   0.53393E+00  -0.12739E+01
15050  -0.44176E+03   0.75648E+02  -0.51741E+03   0.50942E+00  -0.10861E+01
15100  -0.44176E+03   0.75551E+02  -0.51732E+03   0.50876E+00  -0.95873E+00
15150  -0.44176E+03   0.75313E+02  -0.51708E+03   0.50716E+00  -0.87326E+00
15200  -0.44176E+03   0.72726E+02  -0.51449E+03   0.48974E+00  -0.84190E+00
15250  -0.44177E+03   0.80781E+02  -0.52255E+03   0.54398E+00  -0.12169E+01
15300  -0.44176E+03   0.75481E+02  -0.51725E+03   0.50829E+00  -0.10367E+01
15350  -0.44176E+03   0.71259E+02  -0.51302E+03   0.47986E+00  -0.86244E+00
15400  -0.44177E+03   0.81015E+02  -0.52278E+03   0.54556E+00  -0.12660E+01
15450  -0.44176E+03   0.76069E+02  -0.51783E+03   0.51225E+00  -0.11138E+01
15500  -0.44177E+03   0.72864E+02  -0.51463E+03   0.49066E+00  -0.98285E+00
15550  -0.44176E+03   0.72416E+02  -0.51418E+03   0.48765E+00  -0.99257E+00
15600  -0.44176E+03   0.80073E+02  -0.52184E+03   0.53921E+00  -0.12682E+01
15650  -0.44176E+03   0.73840E+02  -0.51560E+03   0.49724E+00  -0.10163E+01
15700  -0.44176E+03   0.71240E+02  -0.51300E+03   0.47973E+00  -0.92400E+00
15750  -0.44176E+03   0.73479E+02  -0.51524E+03   0.49481E+00  -0.10337E+01
15800  -0.44176E+03   0.74928E+02  -0.51669E+03   0.50457E+00  -0.11409E+01
15850  -0.44176E+03   0.79438E+02  -0.52120E+03   0.53493E+00  -0.13307E+01
15900  -0.44176E+03   0.78311E+02  -0.52008E+03   0.52735E+00  -0.12651E+01
15950  -0.44176E+03   0.69931E+02  -0.51169E+03   0.47091E+00  -0.90619E+00
16000  -0.44176E+03   0.73819E+02  -0.51558E+03   0.49710E+00  -0.10184E+01
16050  -0.44176E+03   0.71342E+02  -0.51311E+03   0.48042E+00  -0.92993E+00
16100  -0.44176E+03   0.74819E+02  -0.51658E+03   0.50383E+00  -0.10472E+01
16150  -0.44176E+03   0.76591E+02  -0.51836E+03   0.51577E+00  -0.10797E+01
16200  -0.44176E+03   0.67690E+02  -0.50945E+03   0.45582E+00  -0.73056E+00
16250  -0.44177E+03   0.70720E+02  -0.51249E+03   0.47623E+00  -0.83001E+00
16300  -0.44176E+03   0.70446E+02  -0.51221E+03   0.47439E+00  -0.82749E+00
16350  -0.44176E+03   0.72944E+02  -0.51471E+03   0.49121E+00  -0.92416E+00
16400  -0.44176E+03   0.83909E+02  -0.52567E+03   0.56505E+00  -0.13504E+01
16450  -0.44176E+03   0.81674E+02  -0.52344E+03   0.55000E+00  -0.12783E+01
16500  -0.44176E+03   0.75462E+02  -0.51723E+03   0.50816E+00  -0.10232E+01
16550  -0.44176E+03   0.74893E+02  -0.51666E+03   0.50433E+00  -0.10019E+01
16600  -0.44177E+03   0.77957E+02  -0.51972E+03   0.52496E+00  -0.10570E+01
16650  -0.44176E+03   0.69329E+02  -0.51109E+03   0.46686E+00  -0.68567E+00
16700  -0.44176E+03   0.71379E+02  -0.51314E+03   0.48066E+00  -0.72229E+00
16750  -0.44176E+03   0.73148E+02  -0.51491E+03   0.49258E+00  -0.78399E+00
16800  -0.44176E+03   0.74052E+02  -0.51582E+03   0.49867E+00  -0.79746E+00
16850  -0.44176E+03   0.76488E+02  -0.51825E+03   0.51507E+00  -0.87605E+00
16900  -0.44176E+03   0.73102E+02  -0.51487E+03   0.49227E+00  -0.78728E+00
16950  -0.44176E+03   0.71302E+02  -0.51307E+03   0.48014E+00  -0.73879E+00
17000  -0.44176E+03   0.73572E+02  -0.51534E+03   0.49543E+00  -0.81803E+00
17050  -0.44177E+03   0.79771E+02  -0.52154E+03   0.53718E+00  -0.10064E+01
17100  -0.44176E+03   0.74936E+02  -0.51670E+03   0.50462E+00  -0.79745E+00
17150  -0.44176E+03   0.76684E+02  -0.51845E+03   0.51639E+00  -0.84456E+00
17200  -0.44177E+03   0.78938E+02  -0.52070E+03   0.53157E+00  -0.83360E+00
17250  -0.44176E+03   0.70053E+02  -0.51182E+03   0.47174E+00  -0.44863E+00
17300  -0.44177E+03   0.76175E+02  -0.51794E+03   0.51297E+00  -0.75213E+00
